,Date,User,Tweet
132,2023-04-10 16:02:00+00:00,LakersNation,"HIGHLIGHTS: LeBron James caught fire from deep to help the Lakers beat the Jazz in the regular season finale.
https://t.co/Cfi8EMQXB4 https://t.co/YAMTps0uHm"
133,2023-04-10 15:03:00+00:00,LakersNation,"Darvin Ham spoke to how much he has enjoyed coaching Austin Reaves.
https://t.co/X3Os2qXmln https://t.co/SK5YAIA5yf"
134,2023-04-10 14:04:00+00:00,LakersNation,"#Lakers are set to host the Timberwolves on Tuesday night in the first Play-In Tournament matchup.
https://t.co/kw3nHZtuFB https://t.co/Who1OLpHKH"
135,2023-04-10 13:05:00+00:00,LakersNation,"#Lakers added Tristan Thompson and Shaquille Harrison to their roster, waiving Davon Reed.
https://t.co/bwzDtDxxCL https://t.co/SJuBk0MRfw"
136,2023-04-10 03:02:00+00:00,LakersNation,"ICYMI: @Trevor_Lane broke down the #Lakers signings of Tristan Thompson and Shaquille Harrison.

https://t.co/irbPqfIE21"
137,2023-04-10 02:04:00+00:00,LakersNation,"#Lakers are the first team in nearly two decades to start a season 2-10 and finish above .500. 😳
https://t.co/7Teybf6ycK https://t.co/Lsz2BWkwwK"
138,2023-04-10 01:03:00+00:00,LakersNation,"LeBron James was not surprised to see Austin Reaves take the leap he did this season.
https://t.co/cAKtfVtOaM https://t.co/FIvBj0OKVV"
139,2023-04-10 00:05:00+00:00,LakersNation,"Max Christie spoke to the importance of logging minutes in the G League this season.
https://t.co/EuNVECuKW0 https://t.co/dQyNt0xV8R"
140,2023-04-09 22:45:00+00:00,LakersNation,"Here is all of the info. you need for the Play-In Tournament with the #Lakers hosting the Timberwolves on Tuesday night:
https://t.co/kw3nHZtuFB https://t.co/uz7isiHl6L"
141,2023-04-09 22:12:06+00:00,LakersNation,"Lakers defeat Jazz, now face Wolves in play-in! Join @Trevor_Lane live as we break down LA’s win, the playoff picture, a matchup with Minnesota and more: https://t.co/BriK0iDOUj"
142,2023-04-09 22:09:34+00:00,LakersNation,Timberwolves it is.
143,2023-04-09 21:57:08+00:00,LakersNation,"Clippers beat the Suns, which means the #Lakers clinch the 7 seed. 

They will host the winner of Timberwolves-Pelicans on Tuesday night."
144,2023-04-09 21:51:40+00:00,LakersNation,Timberwolves-Pelicans looks like it's going down to the wire 👀
145,2023-04-09 21:46:00+00:00,LakersNation,"RECAP: #Lakers take care of business against the Jazz to finish the regular season with a 43-39 record.
https://t.co/ywwvtR9rEo https://t.co/KKLP28xrCm"
146,2023-04-09 21:43:54+00:00,LakersNation,"FINAL: #Lakers 128, Jazz 117

LA closes out the 2022-23 regular season with a win and must wait to see where they end up in the Play-In Tournament."
147,2023-04-09 21:41:08+00:00,LakersNation,ALRIGHT THEN KING JAMES
148,2023-04-09 21:40:12+00:00,LakersNation,LEBRON. 3. DAGGER.
149,2023-04-09 21:38:54+00:00,LakersNation,-prays hard-
150,2023-04-09 21:35:05+00:00,LakersNation,LeBron down on the ground after taking a shot to the face
151,2023-04-09 21:33:39+00:00,LakersNation,L3BRON. JAM3S.
152,2023-04-09 21:32:16+00:00,LakersNation,Season-high in points for Kris Dunn because of course
153,2023-04-09 21:28:15+00:00,LakersNation,"Lakers have been able to hold off the Jazz so far this quarter.

LA leads 115-108."
154,2023-04-09 21:27:10+00:00,LakersNation,AUSTIN THREAVES
155,2023-04-09 21:24:43+00:00,LakersNation,"Rui has had a few shots just rim out, but somehow gets that shot plus the foul.

Weird game"
156,2023-04-09 21:22:57+00:00,LakersNation,Agbaji just got tossed for yelling something at the ref and throwing the ball at him.
157,2023-04-09 21:20:20+00:00,LakersNation,There we go Wenyen!
